loss,accuracy,val_loss,val_accuracy,epoch,model_name,dataset,batch_size,max_length,learning_rate,seed
0.7807759731795613,0.5391913762639385,0.6631175449916294,0.5997706422018348,1,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.3792506095048509,0.8182898038575183,0.18778145739010402,0.9392201834862385,2,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.1741664778945565,0.9331393190693255,0.15595748355346067,0.9461009174311926,3,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.1452366685658481,0.9455522724910541,0.16181073124919618,0.948394495412844,4,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.12421628402594716,0.9538523214895545,0.15595582446881703,0.9495412844036697,5,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.10413667040737677,0.9618702579102882,0.15972794140023844,0.9495412844036697,6,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.08353093866250011,0.9696654738748905,0.18196552845516376,0.9438073394495413,7,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.06575446238391756,0.9767331363494632,0.20165236294269562,0.9506880733944955,8,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.04914225188400287,0.9825090201784733,0.2070060380335365,0.944954128440367,9,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.03515251659193118,0.9880473355209431,0.22080607845314912,0.944954128440367,10,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.026927536880904962,0.9911208778155578,0.2328013638034463,0.9438073394495413,11,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.02313306507546092,0.9918781273664048,0.21534175731773889,0.9552752293577982,12,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.020804843062318137,0.9928284013125659,0.2654295467904636,0.9369266055045872,13,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.017597527229481526,0.9944468366271214,0.27849032011415276,0.9438073394495413,14,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.014910751945425418,0.9948328854177494,0.30860594833003624,0.9438073394495413,15,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.012115078591553587,0.9962286002761733,0.3168892708740064,0.9403669724770642,16,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.012213556393217782,0.9961543601241295,0.33836586826613974,0.9461009174311926,17,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.012105556766031367,0.9962286002761733,0.3703046568802425,0.9415137614678899,18,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.009682986441358284,0.9970452419486555,0.3616513359759535,0.9461009174311926,19,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.006868593866169241,0.9979212757427727,0.3599074307296957,0.9438073394495413,20,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.007904164726910074,0.9978321875603201,0.3424164058108415,0.9506880733944955,21,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.005760292944248385,0.998351868624627,0.4147344319415944,0.9426605504587156,22,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.010200420960384662,0.9967928254317064,0.3729355404419558,0.9461009174311926,23,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.007012267020402624,0.9979955158948165,0.36404006874987055,0.9461009174311926,24,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
0.005341124835461732,0.9987527654456636,0.42779430015278713,0.9426605504587156,25,Qwen/Qwen3-4B-Thinking-2507,SST-2,32,128,0.0001,42
