loss,accuracy,val_loss,val_accuracy,epoch,run,trial
0.5440332,0.7507313,0.38855392,0.83142203,1,1,1
0.34216928,0.85661256,0.31446323,0.8669725,2,1,1
0.28709802,0.88062185,0.30524665,0.86811924,3,1,1
0.24838006,0.89768225,0.27852395,0.89334863,4,1,1
0.21315917,0.9142823,0.30731025,0.88876146,5,1,1
0.18295969,0.92895216,0.28105167,0.9059633,6,1,1
0.15620174,0.94022185,0.32566044,0.88990825,7,1,1
0.1369417,0.94844764,0.30861703,0.8979358,8,1,1
0.12140796,0.95524806,0.3505643,0.88876146,9,1,1
0.10709247,0.96083087,0.3271919,0.8841743,10,1,1
0.09588161,0.96495867,0.42328778,0.8795872,11,1,1
0.08700266,0.9674383,0.45340067,0.8795872,12,1,1
0.07920205,0.9707494,0.4702864,0.8635321,13,1,1
0.07261116,0.9731993,0.49844602,0.85894495,14,1,1
0.06409554,0.97600555,0.49072257,0.8704128,15,1,1
0.058887742,0.978307,0.50805205,0.85894495,16,1,1
0.051854942,0.980653,0.61929953,0.8486239,17,1,1
0.046886005,0.9823902,0.6486781,0.85091746,18,1,1
0.04170532,0.98436505,0.71487725,0.8520642,19,1,1
0.036601275,0.98651797,0.686389,0.84977067,20,1,1
0.032578584,0.9882552,0.7689764,0.83715594,21,1,1
0.029069742,0.9887304,0.6943544,0.8451835,22,1,1
0.026842162,0.98999244,0.8347947,0.8325688,23,1,1
0.024434842,0.99067545,0.7221596,0.8428899,24,1,1
0.021906693,0.99175936,0.91057146,0.8440367,25,1,1
0.020943688,0.9921454,0.84962785,0.82683486,26,1,1
0.019827189,0.9929323,0.93386555,0.83142203,27,1,1
0.01718819,0.9934223,0.9168971,0.83830273,28,1,1
0.016342469,0.99417955,0.7809061,0.8325688,29,1,1
0.015298348,0.9943726,1.0320237,0.8233945,30,1,1
0.013730076,0.9948032,1.0037519,0.83600914,31,1,1
0.012897809,0.9952338,0.96640944,0.83715594,32,1,1
0.011956913,0.9958574,1.0171527,0.82568806,33,1,1
0.011053727,0.99610984,1.0296289,0.83830273,34,1,1
0.0107012205,0.99637705,1.1076314,0.82568806,35,1,1
0.009903532,0.99627316,1.118399,0.8233945,36,1,1
